,review,aspect_terms,sentiment_score,sentiment_category
0,Cisco Webex Meetings.,meetings,0.0,neutral
1,"""I m"",  using  Cisco  Webex  Meetings  almost  daily  for  meetings  with  colleagues  and  customers.",meetings meetings colleagues customers,0.0,neutral
2,and  all  my  colleagues  have,colleagues,0.0,neutral
3,"our  own  meeting  rooms,",rooms,0.0,neutral
4,"The  reason,  except  for  COVID",reason covid,0.0,neutral
5,"reasons,  I  use  Cisco",,0.0,neutral
6,It  takes  me  over  2,,0.0,neutral
7,"to  drive  to  the  closest  office,  and",office,0.0,neutral
8,Webex  Meetings  is  really  useful,meetings,0.3,positive
9,for  me  to  partake  in  all  kinds  of  internal  meetings.,kinds meetings,0.3,positive
10,Cisco Webex Meetings Review.,,0.0,neutral
11,Our  organization  relies  on  Cisco,organization,0.0,neutral
12,to  provide  remote  support  to  our  clients.,support clients,-0.1,negative
13,If  there  are  issues,issues,0.0,neutral
14,raised  by  our  client,client,0.0,neutral
15,troubleshoot  the  issue.,issue,0.0,neutral
16,whenever  there  are  meetings  and  bidding  for  a  project.,meetings bidding project,0.0,neutral
17,providing  an  easy  way  of  collaborating  with  other  employees,way employees,0.433,positive
18,Cisco Webex Meetings for Meeting and Training Purposes.,meetings meeting purposes,0.0,neutral
19,is  used  for  our  day  to  day  meeting  and  training.,day day,0.0,neutral
20,It  is  used  by  the  entire  organization.,organization,0.0,neutral
21,As  most  of  our  employees  are  mobile,employees,0.0,neutral
22,"and  also  work  from  branches  and  customer  offices,  we  need",branches offices,0.0,neutral
23,to  do  meetings  and  communication.,meetings communication,0.0,neutral
24,"""We ve"",  been  using  Webex  Meetings  to  give  presentations  to  customers  as  well.",meetings presentations customers,0.0,neutral
25,It  saves  a  lot  of  time,lot time,0.0,neutral
26,Webex Meetings will outshine the rest.....,meetings rest,0.0,neutral
27,"and  it  supports ""everyone s"",",s,0.0,neutral
28,Especially  during  this  virus,virus,0.0,neutral
29,and  still  is  the  only  solution,solution,0.0,neutral
30,that  allows  us  to  have  meeting,meeting,0.0,neutral
31,joins  with  audio/video,video,0.0,neutral
32,sharing  up  in  under  60  seconds.,,0.0,neutral
33,"""It s"",  addressed  the  problem",problem,0.0,neutral
34,we  were  having  of  too,,0.0,neutral
35,hardware  and  software,software,0.0,neutral
36,that  were  confusing,,0.0,neutral
37,as  the  primary  source,source,0.4,positive
38,for  all  the  people,people,0.0,neutral
