title,description,ratings,sentiment,source,date_posted
Worst bike dominar 400,Chain sound is very loud after riding 1500km i lube the chain with the lubricant  and i have also a yamaha r15 v3 i don't have faced any problem in my v3 like chain noise.  it's only bajaj and lots of vibrations in my dominar worst bike ever in 1.80lakh   go for ktm 390 .  Pay extra 90 thousand and much more better than this worst machine dominar.,1,neg,bikewale,25-03-2019
The fashionable-- bajaj dominar,"<p>Hi, this bajaj dominar is very good. It has great experience to ride. It is nice and comfortable to ride. Great to buy and as far as looks is concern it is very glamorous and shiny. Its servicing and maintenance is also good and handy at places. So overall it is good to buy this bike.And maintenance is also awesome. So ride well and safely and protect your life with helmet and follow traffic rules.</p>",3,neg,bikewale,25-04-2018
Not as shown in advertisement,"I have test driven it,it is not like shown in add where they troll royal enfield"" this bike is not good performer.Weight less body very hard transmission.Royal enfield is much much better that this one.They are using enfield legacy to sale there vehicle.After all bajaj has problem with silencer getting holes after sometime of use.No stability,not suitable for person with height.Handle are very congested.",1,neg,bikewale,25-04-2018
Don't buy dominar 400 or bajaj bikes,Bajaj's quality is so bad as compared to other bikes. Bajaj don't have proper engineers team. Service centres are terrible. I ride lots of bikes and i found brakes are not good.. Even dual channel abs is scrap if it doesn't work well. Service partner doesn't even know how to service bike. Chain set is very bad. Body quality is very bad. Every 4 5 days u have to tight the chain and but bolt in bike. Specially handle lock start shacking. Lots of noises coming from only the body of bike. And service centres are not able to solve your problems. They will take your bike for 1-2 week. Then give your bike without doing anything.Bike average is so poor. Lots unnecessary sounds.. Which makes irritate the owner of bike. Guys don't buy this bike.. U will get irritate from service partners.. Every week u have to visit service centres.And bajaj will not do anything on your complaints.,1,neg,bikewale,25-12-2018
Servicing and maintenance,"I have dominar bike, this is 1 year old bike running km is 14000 but both tyre is were out specialty front tyre . I put a complaint for resolve this concern . I am very satisfied with the product but why this problem is coming on only 14000 km if 40000 km running the bike then i understand and unresolved.",1,neg,bikewale,25-11-2018
Worst engineered bike of the year 2017 - dominar,"<p>1. Buying experience is average, the dealers are usually cheaters and do lot of golmals and gimmicks, one has to her very careful. At times they try to sell their test drive bikes</p><p>2. It doesn't feel like 400 cc bike, i owned apache 160 the performance and pickup is far superior when compared to domineer</p><p>3. It looks like a big bike but doesn't translate into performance of the bike. It is very poorly designed bike and need to visit the show room twice a week. Not reliable at all for longer run. If you want hassle free life, better avoid this.</p><p>4. Servicing is very poor, none of the service center guys know how to repair and maintain </p><p>    maintenance is very very poor, chain sprocket and chain needs frequent replacement</p><p>5. Pros: only the looks </p><p>Cons: </p><p>Fuel injection is always a problem</p><p>Mileage is always a problem</p><p>City riding, with the amount of generated heat, you can cook food and have tandoori</p>",1,neg,bikewale,25-04-2018
Chain sounds and 13kmpl mileage,This bike has great power. It takes us to heaven . But it provides least comfort since it's a Bajaj bike. like all other bikes of Bajaj it also has chain problem.There are disturbing noise from the chain.Even on smooth ride it offers less mileage. I get a mileage of 13 kmpl . Only positive side is speed which all other bike offer at this price.  It's better to have a KTM than bajaj. It has the best performance.,1,neg,bikewale,25-07-2018
super performance but it don't catch any eyeballs on road ,"buying experience was overall a good one.....and riding it was technically good.....400cc, abs,all led headlamp set up.....but the main problem is it don't catch any eyes on road....as do the royal enfield or the KTM's.....moreover it sounds like a 125 cc bike.....bajaj could have taken the design also from ktm.....going to sell it this one and upgrade to DUKE 250 or Thunderbird 500X.....",3,neg,bikewale,25-04-2018
Nothing can beat re,<p>I bought this bike a month ago ! at first everything was okay better riding experience was completely satisfied because i was in a state of confusion weather to buy re or dominar as dominar was new i just opted dominar i was completely happy that dominar didn't bought my image down in front my re friends but later i had a long trip with my friends and i felt the ride is bore and so uncomfortable your back will start paining after a ride around approx 30-45 km at one stretch you feel very very uncomfortable and feel difficult for further other things are okay with brakes and all those stuff . Maintenance is also fine not much headache. Whatever nothing can beat re !! i have done a mistake i should have opted re ! </p>,1,neg,bikewale,25-04-2018
Do not buy bajaj dominor,"I bought a new bajaj dominar 2 months before. While i was driving, the tire blasted and the alloy wheel also got damaged.  The quality is pathetic.Apart from that when i contacted bajaj showroom(popular bajaj showroom mandya and mysore), the service and response was very bad. The funny thing is they are asking me to claim insurance. Instead of helping me, they are neglecting me.I would suggest all of you to do not buy any bajaj bikes.All of you can understand that if within 2 months the tire can blast, think what what will be the condition after 2 years.",1,neg,bikewale,25-10-2018
